id,text,Anger,Disgust,Fear,Joy,Sadness,Surprise
rus_train_track_b_00001,"Планы могут меняться и к лучшему, так? Утомительные поиски приводят к цели рано или поздно.",0,0,0,0,0,0
rus_train_track_b_00002,"Вы все еще можете ресегментировать рынок, но стоимость входа на оригинальный рынок является низкой, и он созрел для инноваций.",0,0,0,0,0,0
rus_train_track_b_00003,согласна((( жалко очень,0,0,0,0,2,0
rus_train_track_b_00004,"ну вас нахуй, я уебываю",3,0,0,0,0,0
rus_train_track_b_00005,"снег пошел... вечером уборкой заниматься в нашем новом жилье... а завтра на работу... ээээх((((( отдыха бы, лежать и ничего не делать...",0,0,0,0,2,0
rus_train_track_b_00006,"Инструкция Как скачать Сериал, или отдельные серии сериала.",0,0,0,0,0,0
rus_train_track_b_00007,"У каждого из нас будет тот, кто примет всех наших тараканов и подружит их со своими",0,0,0,0,0,0
rus_train_track_b_00008,"А если даже это и правда, то их замыслы пока еще пребывают в фазе планирования и долго в этой стадии останутся.",0,0,0,0,0,0
rus_train_track_b_00009,"Я никогда не обладала хорошим вкусом в одежде, но как можно было надеть на себя настолько отвратительное платье?",0,2,0,0,0,0
rus_train_track_b_00010,Было приятно когда увидела,0,0,0,1,0,0
rus_train_track_b_00011,- Блин так бесят люди которые безграмотно пишут!,2,0,0,0,0,0
rus_train_track_b_00012,"Жизнь не такая какая есть, она такая окой мы её воспринемаем",0,0,0,0,0,0
rus_train_track_b_00013,До весны 4 дня!) #весна #ура,0,0,0,2,0,0
rus_train_track_b_00014,"Кстати, кто знает, как правильно пишется слово ""алюминиевый""? Я в школе давно учился, а столкнулся — и был удивлён.",0,0,0,0,0,1
rus_train_track_b_00015,"Учитывая обстоятельства и события следующей недели , разбудите меня 23 числа через неделю",0,0,0,0,0,0
rus_train_track_b_00016,Осталось подождать их 5 минут,0,0,0,0,0,0
rus_train_track_b_00017,серьезно???,0,0,0,0,0,2
rus_train_track_b_00018,Эта строчка состоит из сорока символов.,0,0,0,0,0,0
rus_train_track_b_00019,Ае! Все получается!,0,0,0,2,0,0
rus_train_track_b_00020,ДОБРЫЙ ПЯТНИЧНЫЙ ДЕНЬ!!!!,0,0,0,1,0,0
rus_train_track_b_00021,Боюсь довериться.,0,0,1,0,0,0
rus_train_track_b_00022,Фууу такая штука противная...беее,0,3,0,0,0,0
rus_train_track_b_00023,"вы можете не иметь специального образования, но должны обязательно иметь амбиции войти в число лучших менеджеров по продажам рекламы",0,0,0,0,0,0
rus_train_track_b_00024,"я боюсь стать таким, как взрослые, которым ничто не интересно, кроме цифр.",0,0,2,0,0,0
rus_train_track_b_00025,Ты реально налысо постриглась??? Ахуеть,0,0,0,0,0,3
rus_train_track_b_00026,"Я не знаю что будет дальше, мне страшно",0,0,2,0,0,0
rus_train_track_b_00027,Это супер вечер!!я с моим милым песиком!!!#мопс #мимими #пермь #вечер,0,0,0,3,0,0
rus_train_track_b_00028,"если честно,мне начинает это надоедать.понимаю,что отвыкла,но больше не хочу это терпеть.",2,0,0,0,0,0
rus_train_track_b_00029,бесит всЁ и всЕ,2,0,0,0,0,0
rus_train_track_b_00030,Мемстримные Твари бесите,3,0,0,0,0,0
rus_train_track_b_00031,"Мне похую на эти замечания.Тебя вот вообще никак не ебёт и не должно ебать!Тебе какое дело?пиздец блять,пристал,как банный лист",3,0,0,0,0,0
rus_train_track_b_00032,Райское наслаждение ❤️,0,0,0,2,0,0
rus_train_track_b_00033,"Знаете, что бы не говорили мои однокакашники я все равно буду собой — Линой Малиной, а свое мнение пусть засунут куда подальше #ппц",1,0,0,0,0,0
rus_train_track_b_00034,красивая!!!,0,0,0,3,0,0
rus_train_track_b_00035,"я искренни ненавижу людей, которые воруют мои фразы. это мои, шлюхи, мое, блять!",3,0,0,0,0,0
rus_train_track_b_00036,"Ну как вообще можно быть таким человеком? Как тебя уважать после такого? Фу, омерзительно.",0,2,0,0,0,0
rus_train_track_b_00037,Заебало сидеть на лекции по химии,2,0,0,0,0,0
rus_train_track_b_00038,"Меня бесит то,что моя подруга повторяет за мной. Она слушает то,что я.Берет мои слова из МОЕГО словарного запаса СУЧКА…",2,0,0,0,0,0
rus_train_track_b_00039,#Наргиз #Закирова самая лучшая!!! Всем сердцем болеем только за тебя!!!xxxx,0,0,0,3,0,0
rus_train_track_b_00040,смотрю серхъествественное.чет мне страшно,0,0,1,0,0,0
rus_train_track_b_00041,"Как ни крути, когда встаешь рано - успеваешь кучу всего сделать",0,0,0,0,0,0
rus_train_track_b_00042,"а вообще, если говорить честно, попасть в топ-100 мировых вузов вуз сможет только если составит свой собственный рейтинг",0,0,0,0,0,0
rus_train_track_b_00043,Стою уже сорок минут в очереди в Сбербанке! Заебали!,3,0,0,0,0,0
rus_train_track_b_00044,"Проебала наушники ,это #пиздец",0,0,0,0,2,0
rus_train_track_b_00045,Чудных сновидений!Спасибо за вечер!,0,0,0,2,0,0
rus_train_track_b_00046,"А вообще, ебала я эти уроки",2,0,0,0,0,0
rus_train_track_b_00047,"однако, надо забэкапить всю нужную инфу. на всякий случай",0,0,0,0,0,0
rus_train_track_b_00048,"что то грустно как то, ещё музыка такая((((((((печальная",0,0,0,0,2,0
rus_train_track_b_00049,Составляю список усовершенствований для производителя.,0,0,0,0,0,0
rus_train_track_b_00050,"Большой ,жирный , уродливый зад",0,2,0,0,0,0
rus_train_track_b_00051,большей мерзости я не ела никогда. ФУ.,0,2,0,0,0,0
rus_train_track_b_00052,большинство гопников(фанатов )  со столицы меня тупо пугают до ужаса.,0,0,2,0,0,0
rus_train_track_b_00053,Тупая информатика,1,0,0,0,0,0
rus_train_track_b_00054,Мои глаза прошли и я снова себе нравлюсь))),0,0,0,1,0,0
rus_train_track_b_00055,"в школе похвалили и сказали, что мы поем всё лучше и лучше",0,0,0,1,0,0
rus_train_track_b_00056,"то, что сказала мне сегодня Карина, опровергло меня в шок",0,0,0,0,0,3
rus_train_track_b_00057,воу воу!,0,0,0,0,0,2
