text,Anger,Fear,Joy,Sadness,Surprise
But not very happy.,0,0,1,1,0
"Well she's not gon na last the whole song like that, so since I'm behind her and the audience can't see below my torso pretty much, I use my hand to push down on the lid and support her weight.",0,0,1,0,0
"Still had sex with her, though.",0,0,1,0,0
"But I am exhausted-my eyes feel like they are about to pop out of my head-I need some soothing music and images to help my mediate, even for a few minutes, just take me away $ # 365 yoga Monday's Musical Meditation: 0 minutes ago early night-first day of work after mat.",0,1,0,1,0
We ordered some food at Mcdonalds instead of buying food at the theatre because of the ridiculous prices the theatre has.,1,0,0,0,0
I have plenty more.,0,0,1,0,0
it took a little longer for my feet to hurt which was nice.,0,0,1,0,0
more funny than creepy being on this side of the story:,0,1,1,0,1
"Then I decided to try and get up to go to the restroom, but I couldn't move!",0,1,0,0,1
"The following two days, I was in a moderate amount of pain and had very limited range of motion in my arms.",0,1,0,1,0
"He saw blood and said,  ""Mommy!",0,1,0,1,1
I love you boy.,0,0,1,0,0
"I lowered my head so it fell across my face, a good excuse not to look directly at Cody.",0,1,0,0,0
Never saw him again.,0,0,0,1,0
My heart immediately hurt.,0,1,0,1,0
"It's going to suck worse when I'm barefoot in the kitchen in two months and a piece of glass I overlooked is going to unearth itself and stick into the bottom of my foot, like that one time.",0,1,0,0,0
He was just plain GONE into thin air.,0,1,0,1,1
"Long story short, we probably saw incoming meteorites with very steep angles of attack.",0,1,0,0,1
Dad on the warpath.,1,1,0,0,0
"Now with my brain the way it is ( read: fried ), I had quite a difficult time coming up with one for this week.",0,1,0,1,0
I love telling this story.,0,0,1,0,0
""" and turns away, falling back asleep.",0,0,1,1,0
I watched out of the corner of my eye as this man began to come up on my side of the car.,0,1,0,0,1
Prior to the opening of the hunting season in the autumn (when the whole hunting collective/club goes to hunt together) we go hunting alone.,0,1,0,0,0
"probably towed by now"".",0,1,0,0,0
I turned around so I could see my back.,0,0,0,0,1
Lots of profanity and screaming.,1,1,0,0,0
My parents took me up there for my 16th birthday.,0,0,1,0,0
After about 30 seconds something in my brain clicked and seemed to indicate to me that my front door does not in fact open by pushing the button repeatedly on my car's key less entry thingie.,0,0,1,0,1
"after the half day practice on wednesday, my arms were literally black and blue!",0,1,0,1,0
