text,Anger,Fear,Joy,Sadness,Surprise
But isn very joyous.,0,0,1,1,0
"Well she ' s not gon na last the whole song like that.But, so time.Since I ' m behind her and the movie-goers can ' t observe below there.My torso impossibly much, I use my hand to.They push down right.On the lid adnd spport her weight.",0,0,1,0,0
Shehas scooted start.At her Papa ' s recliner chaise only to.What move next to me iwth start clinging to.While my arms.,0,0,0,0,0
"Ohh, ofThe Owasso city bombing.",1,1,0,1,1
"Now computer.My parents.In live in the foothills, and universe.The graduation is in again.A ginormous valley.",0,0,0,0,0
"We too.Get to rest.The sunporch and year.My non-barking starts * growling *, like a big boy wuff, like mutherfucking going down barks.",0,1,0,0,1
"I drifted my arms, stretching the muscles, watching ribbon of tearers pop-and-lock around skin consequent thighbone.",0,0,1,0,0
"The bedroom was large but brightly lit other I sat on a two - seater couch facing the councilor across the room--, as opposed to lounging on my back while staring at road.The ceiling with his lights dimmed. Therefore why.All did .I learn?",0,0,0,0,0
The top of the matrass comes up.Anyway today.A liltte above my waist!,0,0,1,0,0
it took a atiny longer for myh feet3 to.As killed which was nice.,0,0,1,0,0
About 4-7 weeks-ish ago I thought go.I twirled a muscle in -my calf.,0,1,0,1,0
more funny thanmost creepy being 2009.On this side of--a the story.By:,0,1,1,0,1
""" The cop syas him time.To bave a nice day and walkes away.These.",1,0,1,0,1
"also.The 1.Follow two days, I was in a moderate expenditure of painIf the had verrrrry limited 50-350 of motion before.In my arms.",0,1,0,1,0
"twice.He saw -Blood and said.However, "" Mommy!",0,1,0,1,1
"Nothing the most jump-out-of-your-seat feeling, either.I the most widely-known events.The simultaneously.In my mind is as follows:",0,1,0,0,1
When above.The dust settled I looked over at again.My girlfriend and observed she nwas alive ànd I knew I was alive so I imediatly had joy- in andmy heart.,0,0,1,0,0
i edge-aware my teeth at least twice over.A dayI.,0,0,0,0,0
"Needless to.All say, LOL.I came her down.",0,0,0,0,0
".I lowered my -head so it bounced across years.My face, a good excuse not tofully look.Have directly 2012.At Cody.",0,1,0,0,0
"still cant get my shoulders around her.The fact.A anything.This this time.Anyway 4,5 weeks ill be home.",0,1,0,0,0
Ironically it wasn ' t as life destructive as I insisted at the time bceause the doctor didn ' t want for.To sep my forehead without stitch so I did butterfly bandages mindlessly.,0,1,0,1,0
"It was a call fromt the company.She whose offer i had applied, saying that on the medical chck up (welli signing the -contract before.If i went on med. check ); my sinuses doesn ' t necessarily well.",0,1,0,1,0
"* * Elderly man * *: Wellll, done.There ' s.Â is.A lot of them colorless folks working there, and this.I is.Just didn ' tcount feel safe leaving it withg these.",1,1,0,1,0
have--I hollared but I can ' t help nevertheless.I feal a sharp crotchet 2015.In my chest.,0,1,0,1,0
"tossed twice.My legs out 80 degrees.It, i laughed alongwith said ` ` wheeeeee ' '.",0,0,1,0,0
Spirit - SearchWhen me--my heart,0,0,0,0,0
"Long story length, we Likely grabbed incoming diogenites with very steep angles of attack2.",0,1,0,0,1
""" other turns away, falling front asleep.I.",0,0,1,1,0
"Surprisingly Spot on my ear-drum WASNT bot better-than-average, but not alarming.",0,0,0,0,0
"Overall it was a tolerable night.First, with six-seven instant-impact incidents.",0,0,1,0,0
