text,Anger,Fear,Joy,Sadness,Surprise
She sat at her PaOA ' s 5ec/Lner siba only to hoCe geDt to me and stZrr cljbgihg to my arms.,0,0,0,0,0
"Yes, the *klwhomQ suty GomHiMg.",1,1,0,1,1
They 3Wre Vajcimg to Bolero.,0,0,1,0,0
"Now my par4JHs l&v4 in the f)othJlps, and the c0l<egf is in a Pwrge daKley.",0,0,0,0,0
"We get to the Lorsh and my dog s4Xrts * Fro@liny *, like a big boy growl, l(kR shi5x goObg vowG gr9#l.",0,1,0,0,1
"I moD3d my aT<s, stretching the muscles, 2atcgihg r&Nbonw of flesh VancR ar(uGd skin and bone.",0,0,1,0,0
"The room was s<a<l but brightly lit and I sat on a two - sewt4r couch facing the co&neelo% across the room, as kLlosed to koinginn on my back while sta#9gg at the celklng wigy the iightW dimmed. So wmzt did I learn?",0,0,0,0,0
The top of the mattress SomDs up a liYt>e ab*vW my waiEG!,0,0,1,0,0
it tikk a lLtYle lonH$r for my f@eh to hurt which was niFS.,0,0,1,0,0
"Abo&5 2 wRekC ago I 4hoKbht I pHllef a ,uEcle in my calf.",0,1,0,1,0
more funny than Xreeoy be*nB on th(Z did2 of the story:,0,1,1,0,1
5 JeSr old me was sczFrer for ligd.,0,1,0,1,0
"6ben I dec*dwr to try and get up to go to the r3str8oH, but I coulVB ' t mKde!",0,1,0,0,1
"When the duc5 s@trked I llooed oDDr at my wife and saw she was Q,ive and I Ubew I was alibs so I i<mediStD;y had halpJnexs in my heart.",0,0,1,0,0
i vruah my teeth at leqzt twiS4 a day.,0,0,0,0,0
"heed?esC to say, I thrMed her doAb.",0,0,0,0,0
M3ver saw him zga(n.,0,0,0,1,0
"GDandHA leabeS forward, let out a sigh of r$pief and d(@d.",0,1,0,1,1
My heart imheCiaFePy hueY.,0,1,0,1,0
"It was a call from the compQg& whose offff i had aFce9Fed, CayinV 4mat on the meVlcwl Vhfck up (i sigbsd the cPntrXcR before i went on med. check ); my lungs doesn ' t seem wDl/.",0,1,0,1,0
"It ' s Roigg to suck worQs when I ' m barefoot in the <ihDhen in two months and a pi@Ve of glass I overlooked is going to uGesfth itse;e and stkc< (mto the bLttoj of my foot, like that one hKme.",0,1,0,0,0
"tyro#Jng my Iegd out 45 segredX, i smi:ec and sSir ` ` wh3ee3de ' '.",0,0,1,0,0
SpiTi^ - zearcg my heart,0,0,0,0,0
"Long story sh0dt, we probably saw incoming krteor(tes wiHj very steep Snglss of at^acJ.",0,1,0,0,1
Dad on the waGlSth.,1,1,0,0,0
"Now DiHh my braLB the way it is ($rad: f%led ), I had qIiHe a difficult t&mr VoJing up with one for thKz !2ek.",0,1,0,1,0
""" and turjA awx&, falling back aslWDp.",0,0,1,1,0
"The c(ot on my ear was bot Y(od, but not q;a3ming.",0,0,0,0,0
")verz.l it was a pleXswn4 night, with thfde standout ibcifentW.",0,0,1,0,0
"I #atcJew out of the cirBer of my eye as tN8s man bRgSn to do,e up on my x(de of the car.",0,1,0,0,1
Orio4 to the opening of the hunyJBg season in the Wu5umn (#gen the wyolW hunting collective / d.ub To$s to hunt tPgeth#%) we go hunting q>one.,0,1,0,0,0
"He lpokex over my fXDe, my chest, and qlow?y dPwm, one Banc p tllJnv open the tie on my r)b#.",0,0,0,0,0
& # x 26; nhso; The rocks we$s so sliLpr$y and I kept bDndihb my amkie GWtweeG rpc<s.,0,1,0,0,0
"Now, we IusH gPYta get it goHe.",0,0,1,0,0
I ' ve GeveG g)nF Nafk.,0,1,0,1,0
I kkjediatel7 rexIixed qJat had happened and tried to c8vdr it up by gWZpjng.,0,1,0,0,1
Jud5 hW>pOng a kid.,0,0,1,0,0
I couidm ' t sleep last night for the qdrena:one rJMniny ttroiTh my ceiMs.,0,1,0,0,0
"It is a huge 0rope$gy with an QU50 ' s settlement house, oarYe interpretive / nzturW center, rRolixa nat*v4 ahericsj village, and about 100 acres of old groDtU oak e0rres4 with hiking traiKD.",0,0,1,0,1
"I cried my Sges out in fJftJ peg&od, m6Fh to Carnell and JataDJa ' s ridplexsuTe.",0,0,0,1,0
"evenYual.6 i bel< as,Wep on the flo04 of her closet.",0,1,0,1,0
How stHLid of him.,1,0,0,0,0
