text,Anger,Fear,Joy,Sadness,Surprise
She sat at her Pa ' s recliner sa on to me xt to me and tar clinging to my as.,0,0,0,0,0
"Yes, the Okloa ct bomn.",1,1,0,1,1
They re dancing to Bler.,0,0,1,0,0
"Now my aens ie in the fohill, and the clle is in a rge vley.",0,0,0,0,0
"We get to the och and my dog stat * gowlg *, lk a big boy gol, like sts going wn rol.",0,1,0,0,1
"I mvd my am, stretching the muscles, watching ribbons of fes dae roud skin and on.",0,0,1,0,0
"The room was mal but rhtly lit and I sat on a two - eter ouh acig the counselor across the rm, as poed to lounging on my ac while staring at the celi with the lght dimmed. So what did I learn?",0,0,0,0,0
The top of the mtess comes up a itle bve my ist!,0,0,1,0,0
it tk a little onge for my fe to ut wih was nice.,0,0,1,0,0
out 2 weeks ago I thgh I uled a usce in my cl.,0,1,0,1,0
mo funny than reep ing on hs side of the story:,0,1,1,0,1
5 ea old me was scae for lf.,0,1,0,1,0
"Th I deid to try and get up to go to the rroom, but I uldn ' t mo!",0,1,0,0,1
When the dt eted I oked oe at my wf and saw she was alive and I nw I was ive so I imeialy had happiness in my eat.,0,0,1,0,0
i rsh my eth at least tic a day.,0,0,0,0,0
"Neles to say, I ture her do.",0,0,0,0,0
Nev saw him agn.,0,0,0,1,0
"Grma leaned forward, let out a si of rele and dd.",0,1,0,1,1
My eat immediately hr.,0,1,0,1,0
"It was a cl from the company whe ffe i had acetd, saying that on the edic cec up (i signed the contract efor i went on med. check ); my lungs oes ' t sm el.",0,1,0,1,0
"It ' s gng to suck woe when I ' m barefoot in the kthn in two mths and a pie of gla I erooked is gon to neth itself and stick into the bottom of my foot, le that one time.",0,1,0,0,0
"howin my eg out 45 dgee, i mile and ad ` ` wheee ' '.",0,0,1,0,0
Spit - earh my heart,0,0,0,0,0
"on story sho, we prbby saw incom meteorites with very ste angles of attack.",0,1,0,0,1
Dad on the wrah.,1,1,0,0,0
"Now th my ain the way it is (re: rie ), I had qie a difficult te coming up it one for is ek.",0,1,0,1,0
""" and trs away, fain back aeep.",0,0,1,1,0
"The St on my ear was bot gd, but not alrmi.",0,0,0,0,0
"Over it was a pleasant nht, wi three standout cidets.",0,0,1,0,0
I waed out of the crnr of my eye as hi man bga to cm up on my sd of the car.,0,1,0,0,1
Pro to the opening of the ntin sean in the autm (when the hol hunting oletive / club es to hunt together) we go unng lon.,0,1,0,0,0
"He lokd over my fa, my est, and lwly down, one hd ulng pe the tie on my robe.",0,0,0,0,0
& # x 26; nb; The ocs were so slippery and I kp bedn my anl been ocs.,0,1,0,0,0
"Now, we ju ota get it om.",0,0,1,0,0
I ' ve eve go bc.,0,1,0,1,0
I imiatey reaiz ht had happened and rie to cover it up by gspn.,0,1,0,0,1
Jt elig a kid.,0,0,1,0,0
I couldn ' t slp lt night for the areline running hrou my ens.,0,1,0,0,0
"It is a ge opery with an 1850 ' s settlement house, are inrpreve / nate cnte, rlca atie american village, and about 100 acres of old growth oak oret with hkin trails.",0,0,1,0,1
"I cried my ey out in fifth eiod, uc to Cnll and tasa ' s ileasue.",0,0,0,1,0
evenaly i fl seep on the flr of her closet.,0,1,0,1,0
How tupd of him.,1,0,0,0,0
"i ' m lk amused by the auni who ' s hlin my arm all the way, and i ' m thinking of all the weird pites i ok ih yongqing, th i rmembed my flyn eyebrows, and my mil = &%!",0,0,1,0,0
"I don ' t no at it is about my mouth, but it ods to clor for GE.",0,0,1,0,0
"ae sense, they removed all ietifibe infrmtn.",0,0,0,0,1
We er too in hck to scrm.,0,1,0,0,1
ha ' s mssd up.,1,0,0,0,1
""" ht ' s were tho pepe wt missing "".",0,1,0,1,1
"No sidewalk, just a simple two way, sngl lane tret wh crazy tfic gin iter direction.",0,1,0,0,0
"I saw sm of the gis sarn but they dn ' t say aytin, wl not to my fe.",0,0,0,0,0
"I di ' t ntce eher th I was tll sitting on the for, the rug pattern branded on my kns.",0,0,0,1,0
Bo times caastrohily emarasig for me.,0,1,0,1,0
He to the pitr and llowd the giggling.,0,1,1,0,1
"I was eating and dinkg well, my legs et frs, and the tn a twinge in my chils tndn, I fe on the al.",0,0,1,0,0
"Crey plc, never en a fan.",0,1,0,0,0
Today I must do the eade stdyg: (lag. I did a bit lt night (me review) and it is amazing how quickly this shit leaves my rin ter tkng 1. 5 dy off fr it.,1,1,0,1,0
It was dent music but felt so much ke ut someone hit py on a lalis wi commeri and walked away.,0,0,0,0,0
"fte the humiliation and my hsbn aghig uncontrollably at me, my nil maind perfectly itac.",1,0,0,1,0
It bro my heart and nerl rind me.,0,1,0,1,0
My lus were til takn in air as I brehd.,0,0,0,0,0
"I himere, and my heels started pudng against the haroo loo.",0,1,0,0,0
"So, my fahe on a nuance agency.",0,0,0,0,0
""" The black mily behn me looked mrtied.",0,1,0,1,1
"My rm eche fwad, and I rbbe on to his leg.",0,0,0,0,0
"Can ' t ea OP, but my li is the eptm of kard.",0,1,1,1,0
"op, and hy uldn ' t let me leave the dog wtht pyin.",1,1,0,0,1
"I (so far today) have discate my huler, ured ysel on hot oil, had a iaine, had a sinus headache, dislote my wit, and fl wn ten airs made of wood.",0,1,0,1,0
"Hhah but can ' t lme me, my os was boed i can ' t ethe opery la.",0,1,0,0,0
"I was parl dehydrated, and ptly ` ` fsiv ' ' and was siti in my chr wt my fe in the pool, drinking wtr, wnti to ak a nap.",0,0,1,0,0
""" best fids er since",0,0,1,0,0
The tr starts shikng.,0,1,0,0,1
"I did mnge to remember to hang out the shin, but ny because the noyng beeping sud the washer makes when its fnise a cycle finally lered in my bri and arte to irritate me enough that I couldn ' t ignore it any longer.",1,1,0,0,0
"Ah, to cle my es and let time fly by, Because hre ' s so mh to an By ogettin ese deas driving me nsan.",0,1,0,1,0
I awle my eyes out we it.,0,0,0,1,0
I can ver orge it.,0,1,0,1,0
"I ve completely alone, and as I ul the oorn out of the antr, I hear an omioly istit "" SSHHH "" oud.",0,1,0,0,1
I in ' t lk out of my ans.,0,1,0,0,0
"The Air aada ly patt my nd and clle me ` ` da ' ', too.",0,0,1,0,0
une my si the th is unscratched.,0,1,0,0,0
He loke completely lt.,0,1,0,1,0
"' To be hest I don ' t ko why I set out it the dk, yseday ' s lttr luhed in my am.",0,1,0,0,0
I psed tse thoughts out of my ed and tl melf I was being paranoid.,0,1,0,0,0
"It xpress wt I ee in my soul, what I hr in my hd, and wa I see hn I sh my ye in silence.",0,0,1,0,0
""" tang ad at my ex.",1,1,0,1,0
"Because neit of us cld riv, he al had to go to dinner ih the thr two bfohand and et up th me at the show.",0,1,0,0,0
en the cop sws up.,0,1,0,0,1
$ 2K + gn rig the.,1,1,0,1,1
"determined well, i ' ve been going to the gym a little over three weeks now, and i ' ve lo eight pond, and roughly twelve inches tal - about three ro my ait, two and a half from my hips, a ha inch from ec thi, and four toa from my. .. um. .. upper torso area. .. anyway, it feels aese.",0,0,1,0,0
I got to abyi my ranon but my bk ht the ex day.,0,0,1,1,0
"It woed, I was sred shits for the st of the vii.",0,1,0,0,0
40 inut of genine thinking it ' s quite possible I may ner lae toe ods.,0,1,0,1,0
"Oh my god, ay.",0,1,1,0,1
The oect was sped funny and boke at an odd fctue.,0,1,0,0,1
There ' s my stoner oor mt ih a fukn stun gun.,1,1,0,0,1
I quik fell slep.,0,0,1,0,0
"Sad, and ceey huh?",0,1,0,1,1
"Mo mornings, I was hardly able to move my ck at all til after I ' d pnt a od 15 minutes ling really hot wae pnd dw on it in the ower.",0,1,0,0,0
Eihe way I was scrd for my fe ta day. ..,0,1,0,0,0
It was deee itht any human inercio.,1,0,0,0,1
"I tk his od for it, and cle my ys.",0,0,0,0,0
"The cea wn is cl and howling in my fa, easn a sharp stream of ear out of the ef eye.",0,1,0,1,0
"Only reason I lokd is because om ur ai "" dreads are co "".",0,0,1,0,1
"It was absltey delicious and I enye every bite, trying to uh guilty ughts out of my he, although I couldn ' t stop thinking all afternoon aou how many calories mu ve ee in tre!",0,1,1,0,0
ht is ve more interesting is that I no eact how I got this definio.,0,0,1,0,1
Tei dad got hm just a tad bit eay and arge into the room ecae he heard the mong.,1,1,0,0,1
It was vy wid.,0,1,0,0,1
Jt oig in circles.,1,1,0,1,0
"Th oprati removed the interlocking ibia nail from wiin my rgt tbi, a long titanium rod which had dn a marvellous job of holn my leg together after that awful cidnt but which was now superfluous, and also the prime suspect in my ongoing pa issues.",0,1,0,1,0
"I ask her to tl me he fit, and she starts tlin me how she deam the Sears Twr was flig ow. ..",0,1,0,0,1
A mie spread acos my ae.,0,0,1,0,0
pondn my fis and ceamin to a god ha is not her; it ' s sad tre had to be a btle sad i had to loe.,1,1,0,1,0
