text,Anger,Fear,Joy,Sadness,Surprise
But not vueYry hdapFpy.,0,0,1,1,0
She sat at her Papa ' s reclyinveRr so7fza on0l5y to 3mo+ve next to me and suta7rt clicngiBnCg to my aHrjms.,0,0,0,0,0
JTh1ey were dQa6ncinLg to Bolero.,0,0,1,0,0
"But I am exhausted - my eyes feel l4i1ke 1thqey are about to pop out of my head - I need some soothing 1musi6c and ima5gels to help my mediate, even for a few minutes, just take me away $ # 365 y_oxga jMonDday ' s Musical MGedAitatiYon: 0 minutes ago eEarDly ni8gnht - fir_sEt day of work after mat.",0,1,0,1,0
"Now my PparTenhts ilYive in the fHo#othil4ls, and the coSllmegte is in a lCargce )va4lley.",0,0,0,0,0
"I lmovmed my arms, IsbtretXching the muscles, watching rpiybbopns of flesh dance arLoucnd Cski_n and vbonEe.",0,0,1,0,0
"The room was small but brightly lit and I sat on a two - seeatver csouUch fac0iGng the fcoIunseloLr aycroUss the room, as opposed to lounging on my bhaBck whixl_e staring at the gcei_liMng with the lights dVimme$d. So rwha6t did I learn?",0,0,0,0,0
I haxvKe BplZenty more.,0,0,1,0,0
I HsNtill cannot explain ytQhis.,0,1,0,0,1
umorve funny than creepy bzeiGng on this siNdFe of the sztorhy:,0,1,1,0,1
5 Tyea5r old me was Jscarrve8d for lnifqe.,0,1,0,1,0
The wdaitr#ePss had physiWcuapl thzeruaFpy experience and nprepTar4ed a Pnic1e bag of ice for my aQnklNe and the 9beper was FANTASTIC!,0,0,1,0,0
""" The cop teMlpls him to JhaJve a Snxice day and waElkas a1wa@y.",1,0,1,0,1
"He saw blsoKod and +saigd, "" Momnm5y!",0,1,0,1,1
I Plonve you boy.,0,0,1,0,0
i brguHsh my teeth at !leasxt tvwicye a day.,0,0,0,0,0
"Nbeerdles+s to say, I tpurn9ed her Ydowjn.",0,0,0,0,0
"I lo_wFeared my head so it feblul alcros#s my fiac1e, a good Yexecuse not to dlHook directly at cCodjy.",0,1,0,0,0
My rhepart immediately 7huHrt.,0,1,0,1,0
"It was a Dcal3l vf&rom the company whose of3fRer i had accepted, saying that on the Lmedic7aXl check up (i sGign8ed the coont_raEct before i cweWnt on med. cOheIck ); my lu(ngHs doesn ' t sxe&em well.",0,1,0,1,0
"It ' s gOoivng to VsuUck worse when I ' m barelf@okot in the kitchen in two moqnpths and a pirec0e of glass I overlooked is going to yunBe0arth iDtsZelf and tstnick Rintjo the bottom of my foot, like that one 4tim4e.",0,1,0,0,0
"* * Elderly man * *: IWeldl, the&rFe ' s a lot of WtheBm colored folks wlo$rkinxg there, and I 3j$ust wdWidn ' t fgeefl ^safPe le)avuinSg it with tPhe9m.",1,1,0,1,0
I IyelKl but I can ' t he0llp but fe!eTl a vsyharp jstav1e in my cQh5est.,0,1,0,1,0
Spirit - csearcph my BhearGt,0,0,0,0,0
"Long Qstorqy short, we probably saw ivnco)minMg meteorites vwFith veDrBy steep angles of at1tacak.",0,1,0,0,1
"* gCrefepy / Fu&nner7ving * DthaHt is, and just _wQeird.",0,1,0,0,1
I love telling gtheis s3torQy.,0,0,1,0,0
"The TSpoGt on my ear was bot goqoad, but not Salarmjiqng.",0,0,0,0,0
WPrio0r to the fop3ejning of the hunting season in the autumn (wfhepn the whpol_e lhu%nt!ing gcollec9tJive / club gg1oes to hunt t8ogetdhewr) we go hunting aOlonKe.,0,1,0,0,0
"He looked oUvegr my fCacbe, my chest, and kslow&ly down, one ghanwd pu2l@lizng oBpehn the tie on my #roTbe.",0,0,0,0,0
LoAt+s of p^rdofanizty and screaming.,1,1,0,0,0
& # x 26; nb)s)p; The 7rlocks w$erOe so slipypesr9y and I kept b6enGdiMng my ankle bbe7tw%een Xroc5ks.,0,1,0,0,0
I almost enMv!y thseFm; being an actuMakl teenager in thXi*s era means that I hauvne a Two!rld - +weDary ennui on my UshJouldIers.,0,0,0,1,0
"& lt; 3 uHope)f)ully we ' ll ymee8t in pe)rsoon eventually, but we ulivue 9R0800 miles ahpazrt and znheitVher of us ChaTve much m@oSney.",0,1,1,1,0
My parents tojoPk me up thear3e for my C16t6h Obi1rtThday.,0,0,1,0,0
AftAeTr about 30 bsJecondis something in my 6brarin clicked and seemed to indicate to me Ltuhat my !froEnt door )do@es not in fact opGeIn by pushing the buttWo2n repeatedly on my car ' s key lSe!ss entry tMhwiqngie.,0,0,1,0,1
I ' ve nFevTer gzon(e Bbaclk.,0,1,0,1,0
"I heXaryd and fmewlt my rib give where it was ereucenthly Zcriac@ked, and I ' m +prgetty cqeqrt(ain it cRracEke0d again.",0,1,0,1,0
"` ` I zip up the t1otWe b&acNk qXuyick#ly, throw it o^nKto my CshUoulHder and #gra$b up the otihe*r, l^argxer bag.",0,0,1,0,0
Apparently the aftermath of the cll6oggezd BtoiPlet was precttpy gruPeIsotme.,0,1,0,0,1
I ilmmAediEatelty LrealrizHed wh&axt had happened and tried to lcnover it up by egaspLiSng.,0,1,0,0,1
