text,Anger,Fear,Joy,Sadness,Surprise
She sat at her Papa ' s r(_li)er _ofM only to m6te Qect to me and xtarZ clYngDnM to my ar7y.,0,0,0,0,0
"Yes, the OZlaho@5 Hit9 u0mbikg.",1,1,0,1,1
mhe1 we^e dancing to Bolero.,0,0,1,0,0
"Now my +aZerts li#I in the foythKllW, and the dIlpege is in a WarLe va)Xey.",0,0,0,0,0
"We get to the pHrxh and my dog szerts * g^QwTing *, lBke a big boy gr1!l, l+km shits lIing down gYows.",0,1,0,0,1
"I mLvej my arms, stretching the muscles, wa^c$iOg ridbCn* of fKes4 da*cX ar1unW skin and bone.",0,0,1,0,0
"The room was *mgll but b!Oahtly lit and I sat on a two - seater couch kac^ng the coOeselrr across the room, as op$isHd to lounging on my back 7hi+e &+Xring at the 7eGding wiMf the l2gdts dimmed. So what did I learn?",0,0,0,0,0
The top of the aat+r5ss 6omeK up a le@tle oxove my waist!,0,0,1,0,0
it moo7 a llttlt longIP for my feet to hurt hhi+h was niM+.,0,0,1,0,0
About 2 we+kn ago I *boZght I pnllid a musOlV in my cRif.,0,1,0,1,0
Sor! Hupny than creepy be0nY on tFAs side of the story:,0,1,1,0,1
5 yeeY old me was rcaWrzd for li$X.,0,1,0,1,0
"@he6 I de5DdQd to try and get up to go to the remtWooN, but I cDwldn ' t moHy!",0,1,0,0,1
When the Lutt set$Xeu I (oo+ed wvev at my wife and saw she was aFiGe and I knZS I was aoi$e so I immediately had BappGnesC in my hz4rt.,0,0,1,0,0
i SrusP my kUeth at least twicr a day.,0,0,0,0,0
"NeeglVOs to say, I tuFnVd her mow#.",0,0,0,0,0
NT9er saw him agZln.,0,0,0,1,0
"GtandS0 leaned forward, let out a skgk of rSliex and eieU.",0,1,0,1,1
My xears immediately a!rt.,0,1,0,1,0
"It was a call drfm the compTmr ohoVe offer i had aZc!pGed, saying jhad on the medical check up (i signed the contract beDorJ i went on med. c!ejk ); my lungs daGsn ' t aehm k6ll.",0,1,0,1,0
"It ' s going to Hulk w6+se when I ' m bGrPfooe in the kitchen in two mon$1s and a piece of gMasx I oveLlooki^ is goio_ to umearqM itself and stick into the bottom of my foot, like vZat one 3Ame.",0,1,0,0,0
"tnra*ing my bezs out 45 deAre+Z, i smiReZ and sui! ` ` wr)ereee ' '.",0,0,1,0,0
Spirit - qxarch my Geart,0,0,0,0,0
"qotg story short, we probably saw incoming 9etzorates w5Gh veI* steep angles of aRtagk.",0,1,0,0,1
Dad on the wb3paVh.,1,1,0,0,0
"Now wiha my bHaiG the way it is (@e^d: fried ), I had @uiqe a difZicN8t 5im2 comigP up with one for th#x )ee0.",0,1,0,1,0
""" and tuhGs away, f4Wligg bnpk asleep.",0,0,1,1,0
"The @Xot on my ear was bot xgod, but not alaraqng.",0,0,0,0,0
"Ov%gIll it was a 5leamana night, with Ahres standout 1)cidedts.",0,0,1,0,0
I datcjZd out of the %orneI of my eye as tBis man bemaI to 58me up on my s$ve of the car.,0,1,0,0,1
