text,Anger,Fear,Joy,Sadness,Surprise
But not evyr hpayp.,0,0,1,1,0
She sat at her Papa ' s crelinre osaf noyl to omev next to me and start lcignign to my asrm.,0,0,0,0,0
They were adncing to Obelro.,0,0,1,0,0
"But I am exhausted - my eyes eefl leik they are about to pop out of my head - I eend smeo osothing music and images to help my mediate, even for a few minutes, just tkea me waya $ # 365 yaog Monday ' s Musical Meidtaitno: 0 minutes ago early night - ifrts day of work after mat.",0,1,0,1,0
"Now my pratens live in the fotohilsl, and the ocllege is in a laerg vlalye.",0,0,0,0,0
"I moved my amsr, stretching the umslcse, watcighn irbobsn of flesh dance raonud skin and oben.",0,0,1,0,0
"The room was masll but birhglty lit and I sat on a two - esatre couch facing the counsleor caross the room, as poopsde to lounging on my back while staring at the eciilng with the ilghst mdimed. So what did I laenr?",0,0,0,0,0
I ahev plenty more.,0,0,1,0,0
I still cannot xepalni this.,0,1,0,0,1
rmoe fuynn than creepy being on tish side of the tsoyr:,0,1,1,0,1
5 year old me was csrarde for life.,0,1,0,1,0
The awtirses had physcali hterapy expereniec and preraped a nice bag of ice for my kanle and the beer was AFTNASTCI!,0,0,1,0,0
""" The cop tesll him to ahev a ncei day and wlask waya.",1,0,1,0,1
"He saw boldo and sida, "" Ommym!",0,1,0,1,1
I love you boy.,0,0,1,0,0
i brush my teeht at elsat twice a day.,0,0,0,0,0
"Endelses to say, I urtned her down.",0,0,0,0,0
"I lowered my head so it fell acsros my afec, a ogdo exuces not to olko directly at Dcoy.",0,1,0,0,0
My ehrat mimdeaiteyl hurt.,0,1,0,1,0
"It was a lcal rfmo the ocmpany whose offre i had acectepd, saying that on the medical check up (i singde the contract boefre i went on med. cehkc ); my lungs edosn ' t seem wlel.",0,1,0,1,0
"It ' s ogign to skuc worse hwne I ' m abreftoo in the kitchen in two months and a piece of glass I oevrolkoed is going to unearth tisefl and tsikc into the bottom of my foot, like htta one item.",0,1,0,0,0
"* * Ldeeryl man * *: Elwl, terhe ' s a lot of htme colored folks wokring hteer, and I just idnd ' t flee sfea leavign it with them.",1,1,0,1,0
I eyll but I can ' t lhep but fele a shpar tasve in my cehts.,0,1,0,1,0
Sipirt - esarhc my heart,0,0,0,0,0
"Long story short, we porabbyl saw nicmoign meteorites itwh very steep angles of attcak.",0,1,0,0,1
"* Rcepey / nunervign * htta is, and jtus weird.",0,1,0,0,1
I ovle telling htsi story.,0,0,1,0,0
"The Psto on my ear was bot good, but not laarimgn.",0,0,0,0,0
Prior to the oepning of the hutning sseaon in the autumn (when the hwoel hunting collcetive / club egos to htun together) we go hunting laoen.,0,1,0,0,0
"He looked orve my fcea, my chste, and slowly down, one ahdn uplinlg pone the tie on my robe.",0,0,0,0,0
Lots of prfonatiy and sceraming.,1,1,0,0,0
& # x 26; bsnp; The rocks wree so slpiepyr and I kept ebnding my ankle bewteen roksc.,0,1,0,0,0
I laomst envy htme; being an actual teenager in htsi era means that I ahev a wlord - weary nenui on my shoulders.,0,0,0,1,0
"& lt; 3 Ohpeuflly we ' ll emte in preosn evetnaully, but we live 0900 ilmes apart and neither of us hvea much nmoey.",0,1,1,1,0
My arpnets took me up trhee for my 1th6 birthday.,0,0,1,0,0
Atfre about 30 esocnsd something in my brain clicked and seemde to nidicate to me that my front odor does not in fact open by puhnsig the btuton repeatedly on my car ' s key less tenry hitnige.,0,0,1,0,1
I ' ve never ogen abkc.,0,1,0,1,0
