text,Anger,Fear,Joy,Sadness,Surprise
But hot very happynes.,0,0,1,1,0
"We she ' s not gon na lastly the hole song like that, so since I ' m behind her & the audiance can ' to see belove my torso pretty much, I use my hand to push down on withe lid y suport her weight.",0,0,1,0,0
She sitted at her Papa ' s recliner sofa only tm mouve next to mee em start clinging ato mu arms.,0,0,0,0,0
"Yes, lhe Oklahoma cityi bombing.",1,1,0,1,1
"Now my parents live in the foothills, ane the collaege is de at larger vally.",0,0,0,0,0
"We get to 5the pourch Ande mmy doy startes * growling *, like g big boy growl, like shits going fown growl.",0,1,0,0,1
"iI moved my earms, stretching the muckles, watching ribbons of flesh dancd auound skin h bone.",0,0,1,0,0
"The room has small but brightly lit and J'm Saturday on a two - seater couch facing ths counselor acroos the room, as opposed to lounging ona my bakk while staring at 5the ceiling with their ligths dimmed. So what did I learn?",0,0,0,0,0
The top of tem mattress comes p o litte above my waist!,0,0,1,0,0
it took s little longer foi my feet o hurt witch was nici.,0,0,1,0,0
About Two weaks go In thought I pulled a muscle in mmy calf.,0,1,0,1,0
more funny than creepy beign oon this side of el storry:,0,1,1,0,1
""" THe cop tells hin too. have a nici day ande walks away.",1,0,1,0,1
"The folling two daies, o was in a moderate amouth of pain and had vevy liminted rang on motion in my arms.",0,1,0,1,0
"Hi's sai bood and said, "" Mommy!",0,1,0,1,1
"Not se most unnerving feeling, put the musto prominet evet n my mind is as follows:",0,1,0,0,1
Whem the dust settled I look ower at moy wift and saw sha wos alive and I knew I was alive so I immediately kad happy in my heart.,0,0,1,0,0
i breash my tees at least twice la day.,0,0,0,0,0
"Needless to stay, I turend har down.",0,0,0,0,0
"I lowered May heard saw it fell across muy fact, a good skiuse not to look dircetly at Cody.",0,1,0,0,0
stiill can get my head arount tehe fact that this tme Two weeks ill be home.,0,1,0,0,0
Apparently ir wasn't ' t as lift threatening as I beleived at the timen bedause dthe doctor didn ' t want to mar my forehead with stitches soo im geo butterfly bandages instead.,0,1,0,1,0
"It was a call from thet company whos offer it has acepted, saying that onf the medecin chakes ab (i signed the contract before i went im med. check ); my lungs doesn ' t seem well.",0,1,0,1,0
"* * Elderly pan * *: Well, there ' S o loto jf them colorous folks working ther?, and I just didn ' t feeled safty leaving it wiyh them.",1,1,0,1,0
I yell but Im can ' t relp bud feel a shrply stave in Ny chester.,0,1,0,1,0
"thowning meu lags aut 45 degrees, i smiled anb saied ` ` wheeeeee ' '.",0,0,1,0,0
Spirit - seach mmy heart,0,0,0,0,0
"Long atory short, wy probably saw incoming meteorites wilth very step angles of attcak.",0,1,0,0,1
""" and tuns oway, falling bak asleep.",0,0,1,1,0
"The Spot on Ny ear is bot good, butm not's alarming.",0,0,0,0,0
"Overal it was s peasent night, wth three standout incidents.",0,0,1,0,0
Prior to the openg jf the hunting season in the autumn (Whend the wohle hunting collectif / clup gous tio hunt together) me go hunting alone.,0,1,0,0,0
"Once, whille lying in bed falling asleep, I feelled that They zombie apocalypse sas beggining at thate very momeut.",0,1,0,0,1
"probalby towed by naw "".",0,1,0,0,0
"He loocked over my fice, mz chest, and slownly down, one hand pulling open hthe tie im my thobe.",0,0,0,0,0
Lost of profanity ane screaming.,1,1,0,0,0
I almoust envy The; been an actual teenager in thois eara means that I''m hvae a world - weary ennui on myy shoulders.,0,0,0,1,0
"Now, me just gotta getn it hme.",0,0,1,0,0
J ' ve never gon hack.,0,1,0,1,0
"I heard and felt my rib give wehre il was recently cracked, anr A ' M prettey certain it's. cracked again.",0,1,0,1,0
Apperently that aftermath of the clogged toilet ist preatty gruesome.,0,1,0,0,1
"I bit dows jn my lawyer lip, trying as hard and mi cacb go force back another lump in my throat.",0,0,0,1,0
I''m couldn ' t sleep last Nihgt por the adrenalin running throuhg my veins.,0,1,0,0,0
Him stepdad is practically his realee ded.,0,0,1,0,0
