text,Anger,Fear,Joy,Sadness,Surprise
But niot very happy.In.,0,0,1,1,0
"Well she ' velkým not gon na last the Entire song.If like only, so again.Since guys-I ' 'm behind her and the audience can ' t see below it-my torso pretty much, I use my hand to push down on sea.The lid and support her 25lbs.",0,0,1,0,0
She andsat at her-she Grammie ' s recliner ottoman only to MOVING next to me anad start clinging home.To my arms.,0,0,0,0,0
"That, the Lenapah mayor bombing.",1,1,0,1,1
"Now my parents live in the foothill, alongside now.The college is February.In a humungous valleyI.",0,0,0,0,0
"We get toClick the loggia especially my dog begins- * growling *, like too.A big father growl, like shits gpoing down yowl.",0,1,0,0,1
"I repositioned now.My arms, stiffening the epaxial, watching ribbons oftotal flesh dance around myskin and bone.",0,0,1,0,0
"here.The room was small but brightly. lit and I sat themselves.On a two - seater hide-a-bed posed the counselor across the room.This, as opposed to lounged on my back first.While half-turned at him.The ceiling with the lights dimmed. So what did I learn?",0,0,0,0,0
The top.See of the mattress comes upthe a little above some.My bustline!,0,0,1,0,0
it .Took break.A pretty longer for it--my feet to hurt which wasw nice.,0,0,1,0,0
About 6-7 weeks.Why ago I thought I pulled a muscle 2005.In life.My Beltie.,0,1,0,1,0
more Humorous than creepy insufficiently on thhis side of the re-told:,0,1,1,0,1
""" Every cop tells him toÂ have both.A nice day especially walks away1.",1,0,1,0,1
"The instructions.1. --two days, not.I was inthe break.A Mild amount of pain and had very limited range.When of motion in something.My arms.",0,1,0,1,0
"He saw gore.The through said.Russell, "" Mommy!",0,1,0,1,1
"Surprisingly floor.The most unnerving feeling, .but the particularly prominent event inthe my mind is as specifies:",0,1,0,0,1
Obviously whole dust stayed I looked history.Over at my wife when saw she was survive as I HOPED either.I was alive so I immediately had happiness in my heart.,0,0,1,0,0
eat.i brush my teeth at least.And twice a day.Good.,0,0,0,0,0
"Incidentally to say, though--I spun her down.",0,0,0,0,0
"I lowered my head.This so immediately.It fell across my face, a baaad excusable not to--the lokk directly at Spencer.",0,1,0,0,0
still CANNOT get my head roughly road.The fact that soon.This time 2 weeks.Then ill be.I home.,0,1,0,0,0
Apparently it wasn ' t as life.All threatening as I reported at thw time because teh neurosurgeon wasn ' t want to.Still mar my nape with.Now stitches they I got butterfly bandages instead.,0,1,0,1,0
"way.It hewas a call from the comopany whose offer i whohad accepted, saying that on the medicine.A information.Check up (i singned the contract before you.i went on med. check ); days.My lungs doesn ' t annoyingly well.",0,1,0,1,0
"* * Assisted-living man * *: Well, so.There ' s it.A lot of them--it colored folks working theres, snd I kinda didn ' t-- feel safe.One removing it with them.",1,1,0,1,0
then.I yell but I can ' t help.Here but feeling- leader.A sharp- stave in feet.My chest.,0,1,0,1,0
"discarding my legs out 37 degees, thati half-smiled andn said ` ` wheeeeee ' '.",0,0,1,0,0
Sprit - search body.My heart,0,0,0,0,0
"Long story.But short, we probably saw incoming meteorites with somewhat stair-like non-perpendicular of attack.How.",0,1,0,0,1
""" amazingly shoves away, falling back- asleep.",0,0,1,1,0
"These Difference on some.My earI was bot good, but not alarming.",0,0,0,0,0
"way.Overall too was a pleasant night, with thirty-six standout incidents-.",0,0,1,0,0
Prior to that.The opening of America.The bowhunters season in the autumn (when th4e through-out hunting collective / club goes to hunt. together.After) we go hunts aloneFor.,0,1,0,0,0
"Once, whhile lying 2009.In bed falling wakefulness, I felt that world-the zombie apocalypse was beginning at does.What somewhat moment.At.",0,1,0,0,1
"probably towed from now--and "".",0,1,0,0,0
"He turned level.Over my face.A, my adominal, and slowly down.One, one handfor pullling open the tie on my robe.",0,0,0,0,0
Lots constituting profanity andtheir screaming.,1,1,0,0,0
me.I almost envy them.Do; 1.Being an original teenager in this era means so I may a world.It - weary-eyed ennui on my shoulders.,0,0,0,1,0
"And, goes.We away-it gotta get it home.",0,0,1,0,0
I ' işleri enver gone back.With.,0,1,0,1,0
"I talked and felt my Ribs give where it was previously spalled, etc.Both I ' m pretty certain it.it cracked again.Eventually.",0,1,0,1,0
Nope the after-shocks of the slow-draining toilet was pretty gut-churning.,0,1,0,0,1
"Wow-I teency down off my lowermost lip, trying as hard as I can to force back another.It pea-sized in course.My throat.",0,0,0,1,0
I couldn ' 't.How sleep now.Last night feature.For the blood-pumping run.Run through my veins.,0,1,0,0,0
time.His stepdad is practically his --real Dad.The.,0,0,1,0,0
"i ' m like amused to.By the auntie not.Who ' s sucking my arm all the way, and i ' m thinking of all the weird pictures thati took- a yongqing, over.Once picture.i remmeber my flying eyebrows, ands my smile = &%!",0,0,1,0,0
"As we looked windin our way up the steep hill high-profile to country.The cemetery, out of therein.The corner of my eye, I caught a glimpse of a fowl coming right at today.My car.If, me--a bird with today.A HUGE wing - span.",0,1,0,0,1
"Made sense, they re-positioned all.These identifiable information.But.",0,0,0,0,1
"Nonetheless, on--it fits my head.When.",0,0,1,0,0
""" That ' 'appeler were these people.Why toook missing "".",0,1,0,1,1
"No crosswalks, just a simple.You two way, single team-fight street wirh crazy traffic heading either direction.To.",0,1,0,0,0
"I saw serveral of the boys. staring eventhough they didn ' t do anything, super-well defintely to.Many my face.",0,0,0,0,0
"I didn ' t notice Or there I was today.Although kneeling on the floor, the nuLOOM pattern brand.Click site.On my knees.",0,0,0,1,0
"My nose was mashed against there.My face.Oh, ---I was room.In complete darkness, and the only way--the to.Some breath.We was the normobaric coming- in through but tiny eyelet at my mouth.",0,1,0,1,0
"I sleepwalked up, boar-bristle my teeth, and started tо -play a little creemees sub-story.",0,0,1,0,0
"Freaky place, ever been up.A fan.",0,1,0,0,0
It was decent musicMusic but seemed sooooooooooooooo much.To like away.Really nobody hit play on a playlist with commercials other walked away.,0,0,0,0,0
"Eventually the humiliation andother my wife.Now laughing uncontrollably at me-even, my nails reemerged perfectly restored.",1,0,0,1,0
"As I jogged down of.The street, I noticed you road.The non-snow was pissing straight into myu eyes.",0,1,0,0,1
-It broke my heart (nearly wrecking me.,0,1,0,1,0
Our bloodvessels 're still taking in air as Wow-I breathed.,0,0,0,0,0
"I whimpered, and year--my high-heels started hard-pounding against the Hand-scraped floor.",0,1,0,0,0
"Sooooooo, my father fully-owned her.A insurance agency.",0,0,0,0,0
"My arms teetered forward, even I shook on to his amputation.",0,0,0,0,0
"Can ' t -Beat OP, Nonetheless my life is hte epitome ofa akwardly.",0,1,1,1,0
Not expensive the non-risk.,0,1,0,1,0
"I (sooooo far today) have re-torn my shoulder, burned myself.i on heated oil-enriched, got treat.A Migranes, had a sinus headache, dislocated my slap, and fell down.Here ten stairs made of wood.",0,1,0,1,0
"though--I was partly dehydrated, ect. partly ` ` festive ' ' аnd consisted sitting before.In itself.My la-z-boy with my feet in all swimmig, intoxication water, wanting to take a nap.",0,0,1,0,0
""" best--and friends.When ever since",0,0,1,0,0
been.He then reached across with year.One of mother.His front-facing paws and off.Put it around passion.My arm.,0,0,0,0,0
"example.In you--my head, --I was akin. .. this is-the shit!",1,1,0,0,0
The tree begings shrink.,0,1,0,0,1
I did most of them.The skills ok but when again.I iiad to remove life.My mask I paniced and wuldnt breathe properly inlcuding tyhe instructor iiad toThe pinch my nose it.Trying help me!,0,1,0,0,0
"You could not see a foot though.In front of ypou; day.I impossible cried getting to three.The bottom because continent.The wind and flurries was barely burn. my face, lol.",0,1,0,1,0
"I wanted it done on my arm, of course.Well both.The oneOne I use, soo doing every thinig witih my other week.One is suuuuper weird.",0,0,0,0,0
"The hydromedusa lay by year--my feet, its back turned tyo me--the.",0,0,0,0,0
