text,Anger,Fear,Joy,Sadness,Surprise
"Well she ' entropy not gon na terminal the whole song like that, so since I ' chiliad behind her and the audience give the axe ' t see below my torso pretty much, I use my paw to push down feather on the lid and support her system of weights.",0,0,1,0,0
She sit around at her Papa ' s recliner sofa only to move next to me and start out cling to my arms.,0,0,0,0,0
"Yes, the Ok metropolis bombardment.",1,1,0,1,1
"Still accept sex with her, though.",0,0,1,0,0
"Now my parents live in the foothills, and the college embody in a gravid valley.",0,0,0,0,0
"We pay off to the porch and my dog begin * growling *, like a grown son growling, like shits plump down growling.",0,1,0,0,1
"The room make up modest but brilliantly illuminated and I sat on a two - seater couch facing the counselor at law across the room, as opposed to lounging on my back while staring at the ceiling with the lights dimmed. So what did I learn?",0,0,0,0,0
The top of the mattress comes up a lilliputian above my waistline!,0,0,1,0,0
About 2 calendar week ago Iodin thought Iodine pulled a muscle in my sura.,0,1,0,1,0
more comic than creepy personify on this incline of the story:,0,1,1,0,1
5 year old me make up pit for life.,0,1,0,1,0
The waitress had strong arm therapy experience and prepare a courteous base of frappe for my ankle and the beer was FANTASTIC!,0,0,1,0,0
"Then I decided to try and get up to decease to the convenience, only I couldn ' t move!",0,1,0,0,1
""" The cop tells him to hold a decent day and walks aside.",1,0,1,0,1
"Atomic number 2 saw blood and state, "" Mommy!",0,1,0,1,1
I love you boy.,0,0,1,0,0
i sweep my teeth at least doubly a day.,0,0,0,0,0
"Needless to say, 1 turn her down.",0,0,0,0,0
"I lowered my forefront so it fell across my face, a good exculpation not to depend directly at Buffalo bill cody.",0,1,0,0,0
Apparently it wasn ' t as life story threatening as One believed at the time because the doctor didn ' thyroxin desire to mar my forehead with stitch then One got butterfly bandages or else.,0,1,0,1,0
"It ' s rifle to suck spoilt when Unity ' m barefoot in the kitchen in two months and a piece of glass I overlooked is going to unearth itself and stick into the rear of my foot, similar that one time.",0,1,0,0,0
"* * Elderly man * *: Comfortably, on that point ' s a portion of them colored folks working in that location, and 1 just didn ' t flavor safe leaving it with them.",1,1,0,1,0
He was simply bare GONE into thin tune.,0,1,0,1,1
Ane yell but I can ' t help but feel a shrewd round in my chest.,0,1,0,1,0
"befuddle my legs out xlv degree, atomic number 53 smiled and said ` ` wheeeeee ' '.",0,0,1,0,0
Spirit - hunting my heart,0,0,0,0,0
"* Creepy / unsettle * that be, and simply weird.",0,1,0,0,1
""" and work by, falling back asleep.",0,0,1,1,0
"The Spot on my capitulum cost bot dear, but not alarming.",0,0,0,0,0
Ane see knocked out of the corner of my eye as this man begin to come up on my english of the car.,0,1,0,0,1
Prior to the opening of the hunting time of year in the fall (when the whole hunting collective / club run short to run together) we go hunt alone.,0,1,0,0,0
"probably tow by nowadays "".",0,1,0,0,0
"Atomic number 2 attend complete my grimace, my chest, and tardily down, one hand pulling clear the tie on my robe.",0,0,0,0,0
Lots of profanity and screeching.,1,1,0,0,0
One almost envy them; being an existent teenager in this era means that One take a man - weary ennui on my shoulder.,0,0,0,1,0
My parents get me improving at that place for my sixteenth birthday.,0,0,1,0,0
"Like a shot, we just gotta get it nursing home.",0,0,1,0,0
After about 30 seconds something in my mental capacity clicked and seemed to indicate to maine that my front door does not in fact assailable by pushing the button repeatedly on my elevator car ' s winder less entry thingie.,0,0,1,0,1
I ' ve ne'er go back.,0,1,0,1,0
"Ane discover and palpate my costa gift where it was recently cracked, and I ' m pretty certain it cracked once more.",0,1,0,1,0
Manifestly the consequence of the clogged toilet was pretty grim.,0,1,0,0,1
Scary going up only terrifying going knock down into frightening LA traffic.,0,1,0,0,0
Just help a thomas kid.,0,0,1,0,0
"Iodin bit down on my lower lip, trying as gruelling as I sack to force back another lump in my pharynx.",0,0,0,1,0
How stupid of him.,1,0,0,0,0
Yea One ' m with you there man.,0,0,1,0,0
"One assume ' thyroxine know what it is about my mouth, but it adjudge onto colour for AGES.",0,0,1,0,0
"As we comprise winding our way improving the steep hill leading to the cemetery, out of the box of my eye, Iodine caught a glimpse of a bird coming right at my cable car, a bird with a HUGE offstage - duad.",0,1,0,0,1
"Take a crap gumption, they removed all identifiable information.",0,0,0,0,1
""" That ' s be those the great unwashed get neglect "".",0,1,0,1,1
"No sidewalk, precisely a simple deuce way, individual lane street with unbalanced traffic going either instruction.",0,1,0,0,0
"I saw some of the girl staring but they didn ' t state anything, considerably non to my face.",0,0,0,0,0
Both times catastrophically stymy for me.,0,1,0,1,0
He claim the picture and followed the giggling.,0,1,1,0,1
"I was eating and drinking well, my legs feel smart, and other than a twinge in my achilles tendon, One felt on the ballock.",0,0,1,0,0
"Creepy position, ne'er been a fan.",0,1,0,0,0
It be decent medicine but felt so much like just now someone collide with play on a playlist with commercials and walk away.,0,0,0,0,0
"After the humiliation and my husband laughing uncontrollably at pine tree state, my nails remain dead intact.",1,0,0,1,0
Information technology wear my heart and nearly ruined pine tree state.,0,1,0,1,0
My lung were withal taking in air as One breathed.,0,0,0,0,0
"I wail, and my heels start pounding against the hardwood story.",0,1,0,0,0
"So, my male parent owns a insurance bureau.",0,0,0,0,0
"We represent both concerned in uranology, so we ' 500 often just now sit on a bench, and literally gaze into infinite.",0,0,1,0,0
"My arms pass on forward, and I seize on to his leg.",0,0,0,0,0
"Bathroom ' t beat OP, but my lifetime be the epitome of awkward.",0,1,1,1,0
Non worth the risk of infection.,0,1,0,1,0
"Iodin (so far today) have dislocated my articulatio humeri, burned myself on hot rock oil, suffer a migraine, had a venous sinus cephalalgia, dislocated my radiocarpal joint, and fell down ten stairs made of mrs. henry wood.",0,1,0,1,0
Atomic number 2 then reached across with one of his front paws and frame information technology around my arm.,0,0,0,0,0
"In my pass, Unity be like. .. this live shit!",1,1,0,0,0
The sir herbert beerbohm tree starts shrink.,0,1,0,0,1
I perform most of the skills ok merely when I had to remove my mask I panic and couldnt breathe decently and the teacher had to pilfer my nose to help me!,0,1,0,0,0
We haven ' tonne tattle about it since.,0,0,0,1,0
"Ah, to come together my eyes and let time wing by, Because there ' s so practically to gain By forgetting these dreams driving maine insane.",0,1,0,1,0
( HUGE grin on my grimace instantly. ),0,0,1,0,0
"I get it done on my branch, of course the single Ace use, so make every matter with my other one is pretty weird.",0,0,0,0,0
"The starfish lay by my pes, it back turned to me.",0,0,0,0,0
I bawled my eyes kayoed when Wait.,0,0,0,1,0
so we all stood astir clapped and cheered!,0,0,1,0,1
The funeral home has since be shut out dispirited.,0,1,0,1,1
1 didn ' t look out of my mitt.,0,1,0,0,0
"The Breeze Canada peeress chuck my hand and call maine ` ` dear ' ', too.",0,0,1,0,0
And these make up brutal wounds.,1,1,0,1,1
